player,year,pos,college,dob,age_season_start,height,weight,years_exp,team,rec_tgt,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fum,total_yds,games_played,games_started,share_rec_tgt,share_rec,share_rec_yds,share_rec_td,share_rush_att,share_rush_yds,share_rush_td,catch_rate,yds_per_catch,rec_yds_per_game,rec_per_game,tgt_per_game,yds_per_rush,rush_att_per_game,rush_yds_per_game,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_ppr_f1,adp,adp_f1,depth,depth_f1,is_majorly_injured
aaron brown,2009,RB,TCU,1985-10-10,23.90958904109589,72,196,0,['DET'],15,9,84,1,27,131,0,0.0,215,15,2,0.02617801047120419,0.028481012658227847,0.024200518582541054,0.0625,0.07479224376731301,0.09472161966738973,0.0,0.6,9.33,5.6,0.6,1.0,4.85,1.8,8.7,27.5,32.0,36.5,18.3,9999.0,9999.0,3.0,3.0,0
aaron brown,2010,RB,TCU,1985-10-10,24.90958904109589,72,196,1,['DET'],13,8,45,0,17,58,0,0.0,103,6,0,0.02090032154340836,0.020887728459530026,0.011247188202949263,0.0,0.04722222222222222,0.0424597364568082,0.0,0.6154,5.62,7.5,1.33,2.17,3.41,2.83,9.7,10.3,14.3,18.3,1.9,9999.0,9999.0,3.0,3.0,0
aaron brown,2011,RB,TCU,1985-10-10,25.90958904109589,72,196,2,['DET'],1,1,9,0,1,0,0,0.0,9,1,0,0.0015220700152207,0.002364066193853428,0.0017747978702425558,0.0,0.003003003003003003,0.0,0.0,0.9999,9.0,9.0,1.0,1.0,0.0,1.0,0.0,0.9,1.4,1.9,0.0,9999.0,9999.0,4.0,3.0,0
aaron burbridge,2016,WR,Michigan St.,1993-12-23,22.706849315068492,73,208,0,['SF'],16,7,88,0,0,0,0,1.0,88,16,3,0.03285420944558522,0.024475524475524476,0.02765556253928347,0.0,0.0,0.0,0.0,0.4375,12.57,5.5,0.44,1.0,0.0,0.0,0.0,7.800000000000001,11.3,14.8,0.0,550.0,9999.0,2.0,5.0,0
aaron dobson,2013,WR,Marshall,1991-07-23,22.126027397260273,75,210,0,['NE'],72,37,519,4,0,0,0,1.0,519,12,9,0.1166936790923825,0.09736842105263158,0.11950264793921253,0.16,0.0,0.0,0.0,0.5139,14.03,43.2,3.08,6.0,0.0,0.0,0.0,74.9,93.4,111.9,6.8,9999.0,9999.0,4.0,2.0,0
aaron dobson,2014,WR,Marshall,1991-07-23,23.126027397260273,75,210,1,['NE'],5,3,38,0,0,0,0,0.0,38,4,1,0.008305647840531562,0.007633587786259542,0.008855744581682591,0.0,0.0,0.0,0.0,0.6,12.67,9.5,0.75,1.25,0.0,0.0,0.0,3.8,5.3,6.8,27.1,9999.0,9999.0,2.0,2.0,0
aaron dobson,2015,WR,Marshall,1991-07-23,24.126027397260273,75,210,2,['NE'],21,13,141,0,0,0,0,0.0,141,8,3,0.033707865168539325,0.03225806451612903,0.029522613065326633,0.0,0.0,0.0,0.0,0.619,10.85,17.6,1.62,2.62,0.0,0.0,0.0,14.1,20.6,27.1,0.0,9999.0,9999.0,2.0,3.0,0
aaron fuller,2021,WR,Washington,1997-09-30,23.936986301369863,71,188,0,['SEA'],0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.0,9999.0,3.0,3.0,0
aaron green,2016,RB,TCU,1992-10-15,23.895890410958906,71,206,0,['LAR'],0,0,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,5.0,3.0,0
aaron hernandez,2010,TE,Florida,1989-11-06,20.832876712328765,74,250,0,['NE'],64,45,563,6,3,47,0,0.0,610,14,7,0.12749003984063745,0.13595166163141995,0.1399801093983093,0.16216216216216217,0.007263922518159807,0.02409021014864172,0.0,0.7031,12.51,40.2,3.21,4.57,15.67,0.21,3.4,97.0,119.5,142.0,215.5,9999.0,9999.0,3.0,3.0,0
aaron hernandez,2011,TE,Florida,1989-11-06,21.832876712328765,74,250,1,['NE'],113,79,910,7,5,45,0,1.0,955,14,12,0.18585526315789475,0.19651741293532338,0.17310252996005326,0.1794871794871795,0.01278772378516624,0.027141133896260553,0.0,0.6991,11.52,65.0,5.64,8.07,9.0,0.36,3.2,136.5,176.0,215.5,129.8,9999.0,9999.0,2.0,1.0,0
aaron hernandez,2012,TE,Florida,1989-11-06,22.835616438356166,74,250,2,['NE'],83,51,483,5,1,5,0,0.0,488,10,10,0.1309148264984227,0.12686567164179105,0.09971098265895954,0.14705882352941177,0.0020325203252032522,0.0023137436372049976,0.0,0.6145,9.47,48.3,5.1,8.3,5.0,0.1,0.5,78.8,104.3,129.8,0.0,9999.0,9999.0,1.0,3.0,0
aaron jones,2017,RB,Texas-El Paso,1994-12-02,22.764383561643836,69,208,0,['GB'],18,9,22,0,81,448,4,0.0,470,12,4,0.0325497287522604,0.02564102564102564,0.006246450880181715,0.0,0.24923076923076923,0.33913701741105223,0.36363636363636365,0.5,2.44,1.8,0.75,1.5,5.53,6.75,37.3,71.0,75.5,80.0,172.4,273.0,87.5,3.0,3.0,0
aaron jones,2018,RB,Texas-El Paso,1994-12-02,23.764383561643836,69,208,1,['GB'],35,26,206,1,133,728,8,1.0,934,12,8,0.057003257328990226,0.0663265306122449,0.04450205227910996,0.04,0.46830985915492956,0.5461365341335334,0.6666666666666666,0.7429,7.92,17.2,2.17,2.92,5.47,11.08,60.7,146.4,159.4,172.4,315.8,87.5,25.5,3.0,1.0,0
